name,Group,brand,price,source,url,search_keyword,goods_no,img,original_price,platform,shop
리플렉션 스킨 글로우 쿠션 파운데이션 리필 15g,H,아모레퍼시픽,37840,Ably,https://m.a-bly.com/goods/37600983?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cub9ac%5Cud50c%5Cub809%5Cuc158%20%5Cuc2a4%5Cud0a8%20%5Cuae00%5Cub85c%5Cuc6b0%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%20%5Cub9ac%5Cud544%2015g%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FrfEnB0bzSl4%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUxMTEyXzE3NjI5MTM5MjUxODkzMjBtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2014%2C%20%22original_price%22%3A%2044000%2C%20%22price%22%3A%2037840%7D,헤라 블랙쿠션,,,,Ably,
리쥬브네이트 앰플 크림,I,아모레퍼시픽,83160,Ably,https://m.a-bly.com/goods/29830561?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cub9ac%5Cuc96c%5Cube0c%5Cub124%5Cuc774%5Cud2b8%20%5Cuc570%5Cud50c%20%5Cud06c%5Cub9bc%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FoH2ZyiqaIDw%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjQxMjMwXzE3MzU1MTkwNzc2Nzc5NDBtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2023%2C%20%22original_price%22%3A%20108000%2C%20%22price%22%3A%2083160%7D,헤라 블랙쿠션,,,,Ably,
[인기/강력추천] 헤라 컬러 리본 쿠션 스틸레토 뮬 단화 플랫슈즈,J,슈에뜨,29800,Ably,https://m.a-bly.com/goods/3866320?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5B%5Cuc778%5Cuae30%2F%5Cuac15%5Cub825%5Cucd94%5Cucc9c%5D%20%5Cud5e4%5Cub77c%20%5Cuceec%5Cub7ec%20%5Cub9ac%5Cubcf8%20%5Cucfe0%5Cuc158%20%5Cuc2a4%5Cud2f8%5Cub808%5Cud1a0%20%5Cubbac%20%5Cub2e8%5Cud654%20%5Cud50c%5Cub7ab%5Cuc288%5Cuc988%22%2C%20%22market_name%22%3A%20%22%5Cuc288%5Cuc5d0%5Cub728%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2Fr5irtMxlkIk%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjIwMzIxXzE2NDc4NTQwODYyOTE0NjZtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%200%2C%20%22original_price%22%3A%2029800%2C%20%22price%22%3A%2029800%7D,헤라 블랙쿠션,,,,Ably,
헤라 에나멜 유광 H 버클 벨트 여성 쿠션 로퍼 2cm,K,밀로바니,39800,Ably,https://m.a-bly.com/goods/14866212?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cuc5d0%5Cub098%5Cuba5c%20%5Cuc720%5Cuad11%20H%20%5Cubc84%5Cud074%20%5Cubca8%5Cud2b8%20%5Cuc5ec%5Cuc131%20%5Cucfe0%5Cuc158%20%5Cub85c%5Cud37c%202cm%22%2C%20%22market_name%22%3A%20%22%5Cubc00%5Cub85c%5Cubc14%5Cub2c8%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FFW9Wd06NFhc%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2QwMWVjYjI2ZjBiZWNhNTI1MDY3ZTg1MTNkODNkM2UyLmdpZg%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2033%2C%20%22original_price%22%3A%2059800%2C%20%22price%22%3A%2039800%7D,헤라 블랙쿠션,,,,Ably,
[직잭픽] 헤라 블랙 쿠션 파운데이션 00P1 15g,E,,41600,Zigzag,https://store.zigzag.kr/app/catalog/products/147276918?browsing_type=NATIVE_BROWSER,헤라 블랙쿠션,,https://cf.product-image.s.zigzag.kr/original/d/2025/9/9/14164_202509091338330337_66007.jpeg,0,Zigzag,헤라
[직잭픽] 블랙 쿠션 파운데이션 듀오 SPF34/PA++ 15gx2 (본품15g+리필15g),F,,59200,Zigzag,https://store.zigzag.kr/app/catalog/products/110913769?browsing_type=NATIVE_BROWSER,헤라 블랙쿠션,,https://cf.product-image.s.zigzag.kr/original/d/2025/6/2/14164_202506020855530266_41439.jpeg?width=720&height=720&quality=80&format=jpeg,0,Zigzag,헤라
헤라 블랙 쿠션 파운데이션 15g (리필),B,,30400,Zigzag,https://store.zigzag.kr/app/catalog/products/110916492?browsing_type=NATIVE_BROWSER,헤라 블랙쿠션,,https://cf.product-image.s.zigzag.kr/original/d/2025/10/28/14164_202510281019380176_38581.jpeg?width=720&height=720&quality=80&format=jpeg,0,Zigzag,헤라
[리필듀오] 헤라 블랙 쿠션 파운데이션 (R) 15g * 2,L,,60800,Zigzag,https://store.zigzag.kr/app/catalog/products/160494865?browsing_type=NATIVE_BROWSER,헤라 블랙쿠션,,https://cf.product-image.s.zigzag.kr/original/d/2025/10/28/14164_202510281021440853_64471.jpeg,0,Zigzag,헤라
[홀리데이] 헤라 블랙쿠션 리필 & 쿠션 케이스 + 특별증정,M,,50400,Zigzag,https://store.zigzag.kr/app/catalog/products/166477689?browsing_type=NATIVE_BROWSER,헤라 블랙쿠션,,https://cf.product-image.s.zigzag.kr/original/d/2025/10/30/14164_202510301418290085_33717.jpeg,0,Zigzag,헤라
블랙 쿠션 리필 15g + 홀리데이 쿠션 케이스(메탈릭 레더),N,헤라,59220,Musinsa,https://www.musinsa.com/products/5619064,헤라 블랙쿠션,,,,musinsa,
블랙 쿠션 파운데이션 듀오 SPF34/PA++ 15gx2 (본품15g+리필15g),F,헤라,69560,Musinsa,https://www.musinsa.com/products/1867509,헤라 블랙쿠션,,,,musinsa,
블랙 쿠션 파운데이션 15g(R) x2,L,헤라,71440,Musinsa,https://www.musinsa.com/products/4908841,헤라 블랙쿠션,,,,musinsa,
블랙쿠션 리필 15g (옵션),B,헤라,35720,Musinsa,https://www.musinsa.com/products/1867543,헤라 블랙쿠션,,,,musinsa,
블랙 쿠션 파운데이션 00P1 15g,B,헤라,48880,Musinsa,https://www.musinsa.com/products/4387249,헤라 블랙쿠션,,,,musinsa,
블랙 쿠션 파운데이션 퍼프 2EA,C,헤라,7050,Musinsa,https://www.musinsa.com/products/3962330,헤라 블랙쿠션,,,,musinsa,
에어리 파우더 프라이머 8.5G + [사은품증정],O,헤라,56400,Musinsa,https://www.musinsa.com/products/1788202,헤라 블랙쿠션,,,,musinsa,
[OY단독컬러/NEW 홀리데이] 헤라 센슈얼 누드 글로스 ,P,헤라,36000,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177984&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 센슈얼 누드 글로스,A000000177984,,,,
[각인/선물패키지] 헤라 센슈얼 누드 글로스,P,헤라,36000,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000234129&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 센슈얼 누드 글로스,B000000234129,,,,
